msgYear,msgNumber,navArea,subregion,text,status,issueDate,authority,cancelDate,cancelNavArea,cancelMsgYear,cancelMsgNumber,
2023,627,4,24,"WESTERN NORTH ATLANTIC.
FRENCH GUIANA.
CHART 24360.
ILE ROYALE FRONT LEADING LIGHT 05-17.07N 052-35.21W UNLIT.
",A,062030Z JUN 2023,AVURNAV CAYENNE 24/23 061902Z JUN 23.,,,,,
2023,625,4,13,"WESTERN NORTH ATLANTIC.
MASSACHUSETTS.
USCG REMOTE COMMUNICATION FACILITY
BOSTON (F) 41-42.8N 070-30.3W HF TRANSMIT
SERVICES UNRELIABLE.
",A,060339Z JUN 2023,COGARD COMMUNICATIONS COMMAND 0/23 060301Z JUN 23.,,,,,
2023,624,4,"11,26","WESTERN NORTH ATLANTIC.
FLORIDA.
1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING
   100731Z TO 101100Z JUN, ALTERNATE
   110706Z TO 111035Z, 120640Z TO 121009Z,
   130615Z TO 130944Z, 140550Z TO 140919Z
   150525Z TO 150854Z AND 160500Z TO 160828Z JUN
   IN AREAS BOUND BY:
   A. 28-38.44N 080-37.29W, 28-37.00N 080-26.00W,
      28-19.00N 079-56.00W, 28-14.00N 079-56.00W,
      28-23.00N 080-17.00W, 28-30.69N 080-33.13W.
   B. 25-57.00N 076-00.00W, 26-20.00N 076-00.00W,
      26-12.00N 075-17.00W, 26-06.00N 074-55.00W,
      25-52.00N 074-33.00W, 25-40.00N 074-24.00W,
      25-26.00N 074-32.00W, 25-20.00N 074-43.00W,
      25-22.00N 075-00.00W, 25-36.00N 075-26.00W.
2. CANCEL NAVAREA IV 618/23 AND NAVAREA IV 623/23.
3. CANCEL THIS MSG 160928Z JUN 23.
",A,052257Z JUN 2023,EASTERN RANGE 0/23 052245Z JUN 23.,,,,,
2023,619,4,51,"NORTH ATLANTIC.
DNC 08.
S/V NYENERGI REPORTS CREWMAN REQUIRING
MEDICAL ASSISTANCE IN 36-33.00N 042-48.00W.
VESSELS IN VICINITY ABLE TO PROVIDE MEDICAL ASSISTANCE
REQUESTED TO ASSIST IF POSSIBLE. REPORTS TO VESSEL OR TO
TO RCC NORFOLK, PHONE: 757 398 6390,
FAX: 757 398 6392,
E-MAIL: RCCNORFOLK@USCG.MIL.
",A,051038Z JUN 2023,RCC NORFOLK 0/23 051011Z JUN 23.,,,,,
2023,616,4,28,"WESTERN CARIBBEAN SEA.
BELIZE.
CHART 26167.
SANDBORE CAY LIGHT 17-28.20N 087-29.50W UNLIT.
",A,041724Z JUN 2023,BELIZE PORT AUTHORITY 1/23 041601Z JUN 23.,,,,,
2023,611,4,26,"WESTERN NORTH ATLANTIC.
DISTRESS SIGNAL RECEIVED FROM S/V, DISABLED AND
ADRIFT, IN 29-50.03N 071-15.97W. VESSELS IN VICINITY
REQUESTED TO KEEP A SHARP LOOKOUT, ASSIST IF POSSIBLE.
REPORTS TO RCC MIAMI, PHONE: 305 415 6800,
E-MAIL: RCCMIAMI@USCG.MIL.
",A,040205Z JUN 2023,RCC MIAMI 0/23 040127Z JUN 23.,,,,,
2023,608,4,GEN,"1. NAVAREA IV WARNINGS IN FORCE AS OF 022026Z JUN.
   ALL THE INFORCE WARNINGS ARE LISTED HERE.
   607/2023, 605/2023, 603/2023, 602/2023, 601/2023,
   599/2023, 598/2023, 597/2023, 594/2023, 591/2023,
   590/2023, 527/2023, 521/2023, 517/2023, 512/2023,
   510/2023, 496/2023, 483/2023, 439/2023, 434/2023,
   431/2023, 391/2023, 385/2023, 370/2023, 366/2023,
   356/2023, 334/2023, 330/2023, 329/2023, 296/2023,
   295/2023, 274/2023, 265/2023, 250/2023, 248/2023,
   247/2023, 222/2023, 214/2023, 196/2023, 132/2023,
   103/2023, 66/2023, 57/2023, 56/2023, 27/2023,
   11/2023, 10/2023, 9/2023, 8/2023, 7/2023, 6/2023,
   5/2023, 3/2023, 2/2023.
   1396/2022, 1316/2022, 1284/2022, 1193/2022,
   1151/2022, 1144/2022, 1143/2022, 964/2022, 934/2022,
   856/2022, 842/2022, 748/2022, 516/2022, 441/2022,
   439/2022, 367/2022, 362/2022, 316/2022, 295/2022,
   227/2022, 141/2022, 120/2022.
   1157/2021, 1156/2021, 1113/2021, 1003/2021, 977/2021,
   967/2021, 779/2021, 778/2021, 720/2021, 665/2021,
   407/2021, 346/2021, 341/2021, 306/2021, 278/2021,
   277/2021, 144/2021.
2. THE COMPLETE TEXT OF ALL IN-FORCE NAVAREA IV
   BROADCAST WARNINGS ARE AVAILABLE ON THE NGA
   MARITIME SAFETY INFORMATION WEBSITE AT:
   MSI.NGA.MIL/NAVWARNINGS.
   ALTERNATIVELY, THESE MAY BE REQUESTED BY E-MAIL
   FROM THE NAVAREA IV COORDINATOR AT NAVSAFETY@NGA.MIL.
3. CANCEL NAVAREA IV 572/23.
",A,022059Z JUN 2023,NGA NAVSAFETY 0/23 022026Z JUN 23.,,,,,
2023,603,4,24,"NORTH ATLANTIC.
BRAZIL.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 112359Z JUN
   BY M/V MARION DUFRESNE
   IN AREA BOUND BY
   06-59.70N 049-28.25W, 06-59.70N 044-29.00W,
   02-31.00N 044-29.00W, 02-31.00N 050-21.00W,
   05-57.40N 050-21.00W.
   ONE MILE BERTH REQUESTED.
2. CANCEL THIS MSG 120059Z JUN 23.
",A,010126Z JUN 2023,NAVAREA V 175/23 312142Z MAY 23.,,,,,
2023,602,4,12,"VIRGINIA.
NAVTEX STATION CHESAPEAKE (N)
36-43.70N 076-00.60W UNRELIABLE.
",A,312337Z MAY 2023,COGARD COMMUNICATIONS COMMAND 0/23 311601Z MAY 23.,,,,,
2023,601,4,28,"GULF OF MEXICO.
MEXICO.
SAFE WATER BUOY RELOCATED TO 22-16.65N 097-44.48W.
",A,312227Z MAY 2023,MEXICO XII 13/23 312201Z MAY 23.,,,,,
